energy_eV,delta_Im_epsilon
5.429999999999999716e+00,1.668441228803386878e+01
5.440000000000000391e+00,-1.746053746328485090e+00
5.450000000000000178e+00,-1.451750388500962430e+01
5.459999999999999964e+00,-2.101438350787578457e+01
5.469999999999999751e+00,-2.104400061877174721e+01
5.480000000000000426e+00,-1.483783092227591993e+01
5.490000000000000213e+00,-3.023355851563314545e+00
5.500000000000000000e+00,1.343061602316752357e+01
5.509999999999999787e+00,3.329035636348852734e+01
5.520000000000000462e+00,5.514913311344422908e+01
5.530000000000000249e+00,7.752748416224355310e+01
5.540000000000000036e+00,9.897432424113634397e+01
5.549999999999999822e+00,1.181615582701152505e+02
5.560000000000000497e+00,1.339656128443461114e+02
5.570000000000000284e+00,1.455305068005327200e+02
5.580000000000000071e+00,1.523086577911137454e+02
5.589999999999999858e+00,1.540774351534275297e+02
5.600000000000000533e+00,1.509313757685648056e+02
5.610000000000000320e+00,1.432518310888384860e+02
5.620000000000000107e+00,1.316574698231497962e+02
5.629999999999999893e+00,1.169403999376783929e+02
5.639999999999999680e+00,9.999360092703325620e+01
5.650000000000000355e+00,8.173581194938165595e+01
5.660000000000000142e+00,6.303998051445874751e+01
